"http://commons.wikimedia.org/wiki/Commons:Copyright_tags",,,,
"PD-NL-gemeentewapen","Public Domain","free-display",,"- for coats of arms of (no longer existing) municipalities, provinces and the country itself"
"PD-NL-Gov","Public Domain","free-display",,"- for all works communicated to the public by or on behalf of the public authorities (government), unless the copyright has been reserved explicitly, either in a general manner by law, decree or ordinance, or in a specific case by a notice on the work itself or at the communication to the public"
"PD-Nordens Flora","Public Domain","free-display",,"- images from ''Nordens Flora'' (Sweden, Author: C. A. M. Lindman, 1917-1926)."
"PD-Norway50","Public Domain","free-display",,"- Norwegian photos not considered to be ""works of art"" 50 years after they were created, provided that the author died more than 15 years ago or is unknown"
"PD-NorwayGov","Public Domain","free-display",,"- part of a decision or a statement by an authority or a public body of Norway"
"PD-NZ","Public Domain","free-display",,"- for expired Crown Copyright."
"PD-old","Public Domain","free-display",,"applies."
"PD-old","Public Domain","free-display",,"applies. For some intricate special cases in which works of authors who died less than 70 years ago are PD, see {{tl|PD-Russia-2008}}. Roughly, these special cases apply only to authors who died before the end of 1942."
"PD-old","Public Domain","free-display",,"- for works in the public domain because its copyright has expired. This applies to the European Union, the United States and those countries with a copyright term of life of the author plus 70 years."
"PD-old-100","Public Domain","free-display",,"- for works in the public domain because its copyright has expired in countries and areas copyrighting works for life plus 100 years or less."
"PD-old-50","Public Domain","free-display",,"- for works in the public domain because its copyright has expired in the USA and countries and areas copyrighting works for life plus 50 years or less."
"PD-old-70","Public Domain","free-display",,"- for works in the public domain because its copyright has expired in countries and areas copyrighting works for life plus 70 years or less."
"PD-old-75","Public Domain","free-display",,"- for works in the public domain because its copyright has expired in countries and areas copyrighting works for life plus 75 years or less."
"PD-old-80","Public Domain","free-display",,"- for works in the public domain because its copyright has expired in countries and areas copyrighting works for life plus 80 years or less."
"PD-Oman","Public Domain","free-display",,"- 50 years starting from the end of the publication year for photographs and 50 years after the author's death for other works, after which ''attribution is still required forever.''"
"PD-OpenClipart","Public Domain","free-display",,"- for images from the Open Clip Art Library. CC PD dedication."
"PD-OpenClipart","Public Domain","free-display",,"- for images from the Open Clip Art Library. CC PD dedication."
"PD-Pakistan","Public Domain","free-display",,"- for public domain works first published in Pakistan. According to Pakistani copyright laws, all photographs enter the public domain fifty years after they were created, and all non-photographic works enter the public domain fifty years after the death of the creator."
"PD-PDFnet","Public Domain","free-display",,"- material from PDFnet.dk. All material from this website is released to public domain."
"PD-PDphoto.org","Public Domain","free-display",,"- for images from http://www.PDphoto.org: free for commercial use and derivative works as long as it stays that way."
"PD-Peru","Public Domain","free-display",,"- public domain works first published in Peru. According to Peruvian copyright laws, all works enter the public domain seventy years after the death of their creator (same as {{tl|PD-old-70}} for Peruvian works)."
"PD-Peru-noncommercial",,"nonfree",,"- all images registered under law [http://www.sice.oas.org/int_prop/nat_leg/Peru/D822b.asp#t4c1t Decreto Legislativo Nº 822] (noncommercial use)."
"PD-Philippines","Public Domain","free-display",,"- for public domain Philippine images whose copyrights expired or released into the public domain"
"PD-Polish","Public Domain","free-display",,"- for public domain Polish photographs published in Poland without a copyright notice prior to May 23, 1994."
"PD-Polishsymbol","Public Domain","free-display",,"for public domain Polish government documents, materials, signs and symbols"
"PD-PRC-exempt","Public Domain","free-display",,"- for images in the public domain according to the People's Republic of China for free of copyright"
"PD-PT","Public Domain","free-display",,"- same as {{tl|PD-old-70}} for images created in Portugal."
"PD-ROC-exempt","Public Domain","free-display",,"- For images in the public domain according to the Republic of China for free of copyright"
"PD-ROC-Traffic Indicating Lines","Public Domain","free-display",,"- For Taiwanese traffic indicating lines (also known as pavement markings in certain places) from the website of the Institute of Transportation of the Ministry of Transportation and Communications, the same source as above"
"PD-ROC-Traffic Signs","Public Domain","free-display",,"- For Taiwanese traffic signs from the website of the [http://www.iot.gov.tw/public/Attachment/55410542871.pdf Institute of Transportation] of the Ministry of Transportation and Communications"
"PD-RomaniaGov","Public Domain","free-display",,"- for official symbols of the state, of public authorities and organisations, such as: Coats of arms, the seal, the flag, emblems, badges and medals; means of payment."
"PD-RO-Symbol","Public Domain","free-display",,"- for public domain Romanian official symbols of state, public authorities or organizations."
"PD-RU-exempt","Public Domain","free-display",,"for State emblems and official signs (flags, armorial bearings, decorations, monetary signs and other State symbols and official signs) of Russian Federation"
"PD-Russia","Public Domain","free-display",,"</s> '''This tag is obsolete.''' Published before January 1, 1954, with creator (if known) dead before that date (or, if a veteran of the Great Patriotic War, dead before January 1, 1950). Or if belonging to the former Soviet government or other Soviet legal entity and published before January 1, 1954. As on January 1, 2008, this is no longer valid."
"PD-Saudi Arabia","Public Domain","free-display",,"- photos, films, sound and artistic works 25 years after publication, starting from the publication date."
"PD-SCGGov","Public Domain","free-display",,"- for public domain Serbian-Montenegro official works, state symbols, stamps, money etc."
"PD-self","Public Domain","free-display",,"- for works released into the public domain by their creator who is also the uploader."
"PD-self","Public Domain","free-display",,"for your own work instead."
"PD-SerbiaGov","Public Domain","free-display",,"- for public domain Serbian official works, state symbols, stamps, money etc."
"PD-Seychelles","Public Domain","free-display",,"for the following types of works:"
"PD-SFJ","Public Domain","free-display",,"- images from ''Svenska Familj-Journalen'' (1864-1887)"
"PD-Sjöfartsverket","Public Domain","free-display",,"for Swedish maritime fairway sign produced by the [http://www.sjofartsverket.se/default____603.aspx Swedish Maritime Administration] (''Sjöfartsverket'')"
"PD-SlovakGov","Public Domain","free-display",,"for public domain Slovak official works, public documents etc."
"PD-South-Africa","Public Domain","free-display",,"- for photographs from South-Africa 50 years after publication."
"PD-South Korea","Public Domain","free-display",,"- for works whose author died more than 50 years ago or published in the name of an organization more than 50 years ago."
"PD-Statens vegvesen","Public Domain","free-display",,"- for Norwegian road signs from the website of [http://www.vegvesen.no/servlet/Satellite?cid=1098081825039&pagename=vegvesen%2FPage%2FSVVsubSideInnholdMal&c=Page The Norwegian Public Roads Administration] (''Statens vegvesen'')"
"PD-StVZVO","Public Domain","free-display",,"- for road signs published in ordinances or other regulations."
"PD-Sudan","Public Domain","free-display",,"- photos and films 25 years after publication, starting from the publication date."
"PD-Sweden","Public Domain","free-display",,"for public domain images taken by Swedish photographers before 1944"
"PD-Switzerland-official","Public Domain","free-display",,"- for Swiss official documents, currency or patents. See template for details."
"PD-Switzerland-photo","Public Domain","free-display",,"- for photographs first published in Switzerland that do not have the individual character that is  required by law for copyright protection. See template for details, but use this only in obvious cases, as reasonable people can disagree about the individuality of a picture."
"PD-Syria","Public Domain","free-display",,"- By Syrian law, photographic work is protected for 10 years starting from the production date[http://www.arabpip.org/arablaws_syr_authr.htm#3]. As Syria Joined Berne Convention on November 2004, [http://www.wipo.int/edocs/notdocs/en/berne/treaty_berne_229.html], Photographic works produced starting from 1994 should be protected for 25 years starting from the production date (minimum protection period set by Berne Convention). Photographic work produced before 1994 is public domain."
"PD-Thai","Public Domain","free-display",,"for photographic arts photographed under jurisdiction of Thailand or first published in Thailand over 50 years ago. Do not use this tag for PD of government publication."
"PD-ThaiGov","Public Domain","free-display",,"For certain works by the Thailand government which are not copyrightable."
"PD-Thailand","Public Domain","free-display",,"For works from Thailand, which have different copyright terms depending on type, usually 50 years after the creator's death or 50 years after publication."
"PD-TJ-exempt","Public Domain","free-display",,"for formal documents (laws, judgements, other texts of legal, administrative and judicial nature), and also their official translations; state symbols and signs (flags, coats of arms, awards, banknotes and so on); communications concerning events and facts that have informational character; works of folk arts"
"PD-UA-exempt","Public Domain","free-display",,"for daily news or details of current events that constitute regular press information; works of folk art (folklore); official documents of a political, legislative or administrative nature (laws, decrees, resolutions, court awards, State standards, etc.) issued by government authorities within their powers, and official translations thereof; State symbols of Ukraine, government awards; symbols and signs of government authorities, the Armed Forces of Ukraine and other military formations; symbols of territorial communities; symbols and signs of enterprises, institutions and organizations; bank notes; transport schedules, TV and radio broadcast schedules, telephone directories and other similar databases that do not meet the originality criteria and to which the sui generis right (a particular or special right) is applicable."
"PD-Uganda","Public Domain","free-display",,"for works meeting one of the following criteria:"
"PD-Ugglan","Public Domain","free-display",,"- for image from the 2nd edition of ''Nordisk familjebok'' (Sweden, 1904-1926)"
"PD-UKGov","Public Domain","free-display",,"- for UK Crown Copyright (government-generated) images where copyright has expired (typically works created prior to 1957)"
"PD-UK-known","Public Domain","free-display",,"- for UK images having a known author who died more than 70 years ago"
"PD-Ukraine","Public Domain","free-display",,", in this case.)"
"PD-Ukraine","Public Domain","free-display",,"is in effect towards works first published before January 1, 1951, ''and'' the creator (if known) died before that date). This is the effect of the  retroactive [http://www.cipr.org/legal_reference/countries/ukraine/Ukraine_Copyright_ENG.pdf Ukrainian copyright law] of 1993 and the copyright from 50 to 70 years in 2001.). The final conclusion is #.4 in Chapter VI Ukrainian Copyright Law:"
"PD-UK-unknown","Public Domain","free-display",,"- for old UK images of unknown authorship where copyright has expired"
"PD-UN","Public Domain","free-display",,"- official documents of the United Nations"
"PD-United Arab Emirates","Public Domain","free-display",,"- Photographic works 25 years after creation or published before 1992."
"PD-URAA","Public Domain","free-display",,"or {{tlp|PD-URAA|''country''|''[[:en:Wikipedia:Non-U.S. copyrights|URAA date]]''}} if published 1923 or later, and not copyrighted in their source country on the [[:en:URAA|URAA]] date (January 1, 1996 for most countries)."
"PD-Uruguay","Public Domain","free-display",,"- for works in the public domain according to Uruguayan law (50 years after the author's death)."
"PD-US","Public Domain","free-display",,"- published before 1923 and public domain in the US."
"PD-USGov","Public Domain","free-display",,"- for images created by the US Federal Government that are ineligible for copyright."
"PD-USGov-ARM","Public Domain","free-display",,"- for public domain images from the Atmospheric Radiation Measurement Program."
"PD-USGov-Atlas","Public Domain","free-display",,"- for public domain images from the National Atlas of the United States."
"PD-USGov-BLM","Public Domain","free-display",,"- for public domain images from the Bureau of Land Management."
"PD-USGov-CIA","Public Domain","free-display",,"- for public domain media from the Central Intelligence Agency"
"PD-USGov-CIA-WF","Public Domain","free-display",,"- for public domain images from the Central Intelligence Agency's World Factbook"
"PD-USGov-Congress","Public Domain","free-display",,"- for public domain images from the United States Congress."
"PD-USGov-Congress-AOC","Public Domain","free-display",,"- for public domain images from the [[:en:Architect of the Capitol|Architect of the Capitol]]."
"PD-USGov-Congress-Bio","Public Domain","free-display",,"- for public domain images from the Biographical Directory of the United States Congress."
"PD-USGov-DEA","Public Domain","free-display",,"- for public domain images from the [[:en:Drug Enforcement Administration|Drug Enforcement Administration]]"
"PD-USGov-DHS","Public Domain","free-display",,"- for public domain images from the Department of Homeland Security"
"PD-USGov-DHS-CG","Public Domain","free-display",,"- for public domain images from the US Coast Guard"
"PD-USGov-DHS-CGAUX","Public Domain","free-display",,"- for public domain images from the US Coast Guard Auxiliary"
"PD-USGov-DOC","Public Domain","free-display",,"- for public domain images from the Department of Commerce"
"PD-USGov-DOC-Census","Public Domain","free-display",,"- public domain files from the US Census Bureau"
"PD-USGov-DOE","Public Domain","free-display",,"- for public domain images from the Department of Energy"
"PD-USGov-DOJ","Public Domain","free-display",,"- for public domain images from the Department of Justice"
"PD-USGov-DOL","Public Domain","free-display",,"- for public domain images from the Department of Labor"
"PD-USGov-DOS","Public Domain","free-display",,"- for public domain images from the Department of State"
"PD-USGov-DOT","Public Domain","free-display",,"- for public domain images from the Department of Transportation"
"PD-USGov-DVA","Public Domain","free-display",,"- for public domain images from the Department of Veteran Affairs"
"PD-USGov-ED","Public Domain","free-display",,"- for public domain images from the Department of Education"
"PD-USGov-EPA","Public Domain","free-display",,"- for public domain images from the Environmental Protection Agency"
"PD-USGov-FAA","Public Domain","free-display",,"- for public domain images from Federal Aviation Administration"
"PD-USGov-FBI","Public Domain","free-display",,"- for public domain images from the Federal Bureau of Investigation"
"PD-USGov-FDA","Public Domain","free-display",,"- for public domain images from the Food and Drug Administration"
"PD-USGov-Federal Reserve","Public Domain","free-display",,"- for public domain images from the Federal Reserve Board of Governors"
"PD-USGov-FEMA","Public Domain","free-display",,"- for public domain images from the Federal Emergency Management Agency"
"PD-USGov-FSA","Public Domain","free-display",,"- for images from the defunct Farm Security Administration or Office of War Information"
"PD-USGov-FWS","Public Domain","free-display",,"- for public domain images from the [[w:United States Fish and Wildlife Service|Fish and Wildlife Service]]"
"PD-USGov-HHS","Public Domain","free-display",,"- for public domain images from the Department of Health and Human Services"
"PD-USGov-HHS-CDC","Public Domain","free-display",,"- for public domain images from the Centers for Disease Control and Prevention"
"PD-USGov-Interior","Public Domain","free-display",,"- for public domain images from the Department of Interior"
"PD-USGov-Interior-HABS","Public Domain","free-display",,"- for public domain images from the  Historic American Buildings Survey"
"PD-USGov-Interior-MMS","Public Domain","free-display",,"- for public domain images from the Minerals Management Service"
"PD-USGov-Interior-USBR","Public Domain","free-display",,"- for public domain images from the Bureau of Reclamation"
"PD-USGov-Interior-USGS-Minerals","Public Domain","free-display",,"- for public domain images from the USGS Minerals in Your World project"
"PD-USGov-Interior-USGS-NBII","Public Domain","free-display",,"- for public domain images from the National Biological Information Infrastructure (NBII) Digital Image Library"
"PD-USGov-Military","Public Domain","free-display",,"- for public domain images from the US military or Department of Defense"
"PD-USGov-Military-Air Force","Public Domain","free-display",,"- for public domain images from the US Air Force"
"PD-USGov-Military-Air Force Auxiliary","Public Domain","free-display",,"- for public domain images from the Auxiliary Civil Air Patrol"
"PD-USGov-Military-Army","Public Domain","free-display",,"- for public domain images from the US Army"
"PD-USGov-Military-Army-USACE","Public Domain","free-display",,"- for public domain images from the USACE"
"PD-USGov-Military-Army-USACMH","Public Domain","free-display",,"- for public domain images from the US Army Center for Military History"
"PD-USGov-Military-Army-USAIOH","Public Domain","free-display",,"- for public domain images from the US Army Institute of Heraldry"
"PD-USGov-Military-Award","Public Domain","free-display",,"- for public domain images of military medals"
"PD-USGov-Military-Badge","Public Domain","free-display",,"- for public domain images of military badges"
"PD-USGov-Military-Coast Guard","Public Domain","free-display",,"- for public domain images from the US Coast Guard"
"PD-USGov-Military-Marines","Public Domain","free-display",,"- for public domain images from the US Marines"
"PD-USGov-Military-MDA","Public Domain","free-display",,"- for public domain images from the Missile Defense Agency"
"PD-USGov-Military-National Guard","Public Domain","free-display",,"- for public domain images from the US National Guard"
"PD-USGov-Military-Navy","Public Domain","free-display",,"- for public domain images from the US Navy"
"PD-USGov-Military-NGA","Public Domain","free-display",,"- for public domain data and images from the National Geospatial Intelligence Agency"
"PD-USGov-money","Public Domain","free-display",,"- for images of the official currency of the United States that are ineligible for copyright."
"PD-USGov-MUTCD","Public Domain","free-display",,"- for images taken from the Manual on Uniform Traffic Control Devices"
"PD-USGov-NASA","Public Domain","free-display",,"- for public domain images from NASA."
"PD-USGov-NCBI-scienceprimer","Public Domain","free-display",,"- for public domain images from the National Center for Biotechnology Information's Science Primer"
"PD-USGov-NIH","Public Domain","free-display",,"- for public domain images from the National Institutes of Health"
"PD-USGov-NIST","Public Domain","free-display",,"- for public domain images from the National Institute of Standards and Technology"
"PD-USGov-NOAA","Public Domain","free-display",,"- for public domain images from the National Oceanic and Atmospheric Administration"
"PD-USGov-NPS","Public Domain","free-display",,"- for public domain images from the United States National Park Service"
"PD-USGov-NRO","Public Domain","free-display",,"- for public domain images from the National Reconnaissance Office"
"PD-USGov-NSA","Public Domain","free-display",,"- for public domain images from the National Security Agency"
"PD-USGov-NSF","Public Domain","free-display",,"- for public domain images from the National Science Foundation"
"PD-USGov-NTSB","Public Domain","free-display",,"- for public domain images from the National Transportation Safety Board"
"PD-USGov-PHS","Public Domain","free-display",,"- for public domain images from the United States Public Health Service"
"PD-USGov-POTUS","Public Domain","free-display",,"- for public domain images from the Executive Office of the President of the United States"
"PD-USGov-Treasury","Public Domain","free-display",,"- for public domain images from the Department of the Treasury"
"PD-USGov-TVA","Public Domain","free-display",,"- for public domain images from the Tennessee Valley Authority."
"PD-USGov-USAID","Public Domain","free-display",,"- for public domain images from USAID"
"PD-USGov-USDA","Public Domain","free-display",,"- for public domain images from the United States Department of Agriculture"
"PD-USGov-USDA-ARS","Public Domain","free-display",,"- for public domain images from the Agricultural Research Service"
"PD-USGov-USDA-FS","Public Domain","free-display",,"- for public domain images from the Forest Service"
"PD-USGov-USDA-NAL","Public Domain","free-display",,"- for public domain images from the National Agricultural Library"
"PD-USGov-USDA-NRCS","Public Domain","free-display",,"- for public domain images from the Natural Resources Conservation Service"
"PD-USGov-USGS","Public Domain","free-display",,"- for public domain images from the United States Geological Survey"
"PD-USGov-USIA","Public Domain","free-display",,"- for pubic domain images from the now-defunct United States Information Agency"
"PD-USGov-VOA","Public Domain","free-display",,"- for public domain images from the ''Voice of America'' [http://www.voanews.com/]"
"PD-USGov-WPA","Public Domain","free-display",,"- for public domain images from the defunct Works Progress Administration"
"PD-US-no notice","Public Domain","free-display",,"- any work first published without copyright notice prior to 1978."
"PD-US-not renewed","Public Domain","free-display",,"- published in the United States between 1923 and 1963, with its copyright not renewed."
"PD-USNWR","Public Domain","free-display",,"- for public domain images from the US News & World Report Collection"
"PD-US-patent","Public Domain","free-display",,"for public domain images released under U.S. patent regulations"
"PD-US-record","Public Domain","free-display",,"- for sound recordings in the public domain in the US (i.e. fixed before February 15, 1972 and not based on copyrighted material - does not apply in New York)."
"PD-UZ-exempt","Public Domain","free-display",,"- for official documents (law, resolutions, decisions, etc.) as well as their official translations; official symbols and signs (flags, arms, orders, banknotes, etc.); national creative works; reports about the news of the day or current events having the nature of usual press conference; results received with help of equipment designed for some kind of production without the person's implementation of creative activity directly associated with the creation of individual work."
"PD-Vägverket","Public Domain","free-display",,"for Swedish road signs from the website of the [http://www.vv.se/templates/page2_2____13172.aspx Swedish Road Administration] (''Vägverket'')"
"PD-Van Vechten","Public Domain","free-display",,"- for images from the Carl Van Vechten Collection"
"PD-Venezuela","Public Domain","free-display",,"- generally 60 years after the author's death with the exception of audiovisual works, broadcast works and computer programs, in which case the protection lasts for 60 years after publication"
"PD-Vietnam","Public Domain","free-display",,"- all photographs enter the public domain fifty years after they were first published, and all non-photographic works enter the public domain fifty years after the death of the creator."
"PD-VL-shield","Public Domain","free-display",,"- for coats of arms."
"PD-VzKat","Public Domain","free-display",,"- for road signs published as statues or other regulations."
"PD-WorldWind","Public Domain","free-display",,"- for public domain images taken with NASA's [[World Wind]]"
"PD-WSMRM","Public Domain","free-display",,"- for images from the [http://www.wsmr-history.org/ White Sands Missile Range Museum website]."
"PD-Yemen","Public Domain","free-display",,"- photos and two dimensional artistic works 10 years and televison screenshots 3 years after publication or broadcast, starting from the beginning of the publication year."
"PD-Zimbabwe","Public Domain","free-display",,"- photographs 50 years starting from the end of publication year, other works 50 years starting from the end of the year, in which the author died"
"PermissionOTRS",,"unknown",,"- Allows to enter easily a ticket number for permissions forwarded to otrs. syntax is: <nowiki>{{PermissionOTRS|ticket http address}}</nowiki>."
"Personality rights",,"unknown",,"- Personality rights warning, for images of an identifiable person who is alive or deceased recently"
"PolandGov",,"nonfree",,
"PolishPresidentCopyright",,"unknown",,"- Polish President Copyright"
"PolishSenateCopyright",,"unknown",,"- Polish Senate copyright - verified to be under the GNU License"
"PolishSenateCopyright",,"unknown",,", {{tl|PolishPresidentCopyright}}"
"Pressefotos Die Gruenen",,"unknown",,"- for images from http://www.gruene.at/"
"RomanianGovernmentCopyright",,"nonfree",,"- Romanian Government copyright; use in journalistic/scientific contexts only."
"Screenshot",,"nonfree",,"- Copyrighted screenshots. ''(See <nowiki>{{free screenshot}}</nowiki> [[Commons:Copyright tags#Other free tags|above]] for uncopyrighted screenshots.)''"
"Second Life",,"unknown",,"- for screenshots from [[w:Second Life|Second Life]]"
"SejmCopyright",,"nonfree",,"- Polish Sejm copyright. Images uploaded after 8th December 2006 have to be deleted."
"SpaceShuttle","SpaceShuttle","free-display",,"- Data from http://www.jpl.nasa.gov/srtm/. '''Note''', this is not a copyright tag, but simply a source information tag"
"Trademarked","Trademarked","free-display",,"- for logos."
"UN map","UN map","free-display",,"- United Nations maps"
"Www.folketinget.dk","www.folketinget.dk","free-display",,"- for images from the official Folketing website"
"imbox",,"unrelated",,
"pd-layout","Public Domain","free-display",,
"information",,"unrelated",,
"pd","Public Domain","free-display",,
"pd-script","Public Domain","free-display",,
"non-free use rationale",,"nonfree",,
"non-free media",,"nonfree",,
"to the uploader",,"nonfree",,
"non-free scout logo",,"nonfree",,
"image other",,"unrelated",,
"non-free media rationale",,"nonfree",,
"edit",,"unrelated",,
"pd-ineligible","Public Domain","free-display",,
"it",,"unrelated",,
"description",,"unrelated",,
"sl",,"unrelated",,
"pd-ineligible/lang","Public Domain","free-display",,
"it",,"unrelated",,
"en",,"unrelated",,
"de",,"unrelated",,
"validsvg",,"unrelated",,
"pd-user/lang",,"unrelated",,
"pd-user","Public Domain","free-display",,
"description/dir",,"unrelated",,
"ar",,"unrelated",,
"es",,"unrelated",,
"eo",,"unrelated",,
"easy-border",,"unrelated",,
"tlp",,"unrelated",,
"insignia/lang",,"unrelated",,
"convert to svg/lang",,"unrelated",,
"convert to svg",,"unrelated",,
"tlx",,"unrelated",,
"ru",,"unrelated",,
"pl",,"unrelated",,
"pd-user-w","Public Domain","free-display",,
"non-free fair use in",,"nonfree",,
"ja",,"unrelated",,
"he",,"unrelated",,
"cs",,"unrelated",,
"wa",,"unrelated",,
"zh",,"unrelated",,
"vector-images.com",,"unrelated",,
"tl",,"unrelated",,
"svg",,"unrelated",,
"sv ",,"unrelated",,
"sk",,"unrelated",,
"rename needs confirmation/lang",,"unrelated",,
"rename needs confirmation",,"unrelated",,
"pd-shape","Public Domain","free-display",,
"non-free wikimedia logo","logo","nonfree-display",,
"non-free software screenshot",,"nonfree",,
"non-free mozilla logo","logo","nonfree",,
"namespace detect",,"unrelated",,
"mbox",,"unrelated",,
"insignia-israel/lang",,"unrelated",,
"insignia-israel",,"unrelated",,
"id",,"unrelated",,
"free media",,"unrelated",,
"fr ",,"unrelated",,
"fi",,"unrelated",,
"el",,"unrelated",,
"da",,"unrelated",,
"col-end",,"unrelated",,
"col-break",,"unrelated",,
"col-begin",,"unrelated",,
"!",,"unrelated",,
"fairuse rationale",,,,
"bild-gfdl","GNU Free Documentation License","free-display",,
"free screenshot",,"free-display",,
"copyright by wikimedia","logo","free-display",,
"copyrightbywikimedia","logo","free-display",,
"gfdl-presumed","GNU Free Documentation License","free-display",,
"fairuse ",,"nonfree",,
"pt",,"unrelated",,
"software-screenshot",,"nonfree",,
"easy-border/lang",,"unrelated",,
" pd-user-en","Public Domain","free-display",,
"dir ",,"unrelated",,
"protected image",,"unrelated",,
"ifimage",,"unrelated",,
"fr",,"unrelated",,
"-",,"unrelated",,
"vector version available",,"unrelated",,
"vector version available/lang ",,"unrelated",,
"vector version available/en",,"unrelated",,
"clr",,"unrelated",,
"autotranslate",,"unrelated",,
"lang",,"unrelated",,
"hu",,"unrelated",,
"nl",,"unrelated",,
"tr",,"unrelated",,
"screenshot",,"nonfree",,
"mprotected",,"unrelated",,
"sr",,"unrelated",,
"supersededsvg",,"unrelated",,
"non-free logo ","logo","nonfree",,
"botmovetocommons",,"unrelated",,
"parmand3",,"unrelated",,
"rei-artur/by",,"unrelated",,
"bild-pd","Public Domain","free-display",,
"pd/lang",,"unrelated",,
"et",,"unrelated",,
"check categories/layout",,"unrelated",,
"check categories/lang",,"unrelated",,
"check categories/en",,"unrelated",,
"check categories",,"unrelated",,
"sv",,"unrelated",,
"ro ",,"unrelated",,
"bg",,"unrelated",,
"logo","logo","unrelated",,
"hr",,"unrelated",,
"vi",,"unrelated",,
"pd-author","Public Domain","free-display",,
"bild-gfdl-self","GNU Free Documentation License","free-display",,
"cc-layout",,"unrelated",,
"microsoft screenshot",,"nonfree",,
"author missing",,"unrelated",,
"pd-author/lang",,"unrelated",,
"author missing/en",,"unrelated",,
"author missing/layout",,"unrelated",,
"author missing/lang",,"unrelated",,
"af",,"unrelated",,
"spui","Public Domain","free-display",,
"lt",,"unrelated",,
"br",,"unrelated",,
"tlxs",,"unrelated",,
"subst",,"unrelated",,
"spuiother","Public Domain","free-display",,
"ca",,"unrelated",,
"nb ",,"unrelated",,
"bild-pd-self","Public Domain","free-display",,
"pd-us-flag","Public Domain","free-display",,
"source missing",,"unrelated",,
"created with inkscape",,"unrelated",,
"bild-gpl","GNU Free Documentation License","free-display",,
"sq",,"unrelated",,
"ko",,"unrelated",,
"free screenshot/lang",,"unrelated",,
"pd-chem","Public Domain","free-display",,
"gray's anatomy plate","Public Domain","free-display",,
"no rationale",,"nonfree",,
"mk",,"unrelated",,
"copyrighted-layout",,"unrelated",,
"pd-because","Public Domain","free-display",,
"cy",,"unrelated",,
"gl",,"unrelated",,
"source missing/layout",,"unrelated",,
"source missing/lang",,"unrelated",,
"pd-because/lang",,"unrelated",,
"gnu-layout",,"unrelated",,
"non-free album cover",,"nonfree",,
"source missing/en",,"unrelated",,
"fair use",,"nonfree",,
"bs",,"unrelated",,
"pp-meta",,"unrelated",,
"vva",,"unrelated",,
"painting",,"unrelated",,
"pd-art-yorckproject","Public Domain","free-display",,
"pp-template",,"unrelated",,
"upload/replace this image/people",,"unrelated",,
"lv",,"unrelated",,
"km",,"unrelated",,
"interwiki",,"unrelated",,
"fvbs bilderkatalog",,"unrelated",,
"bild-bsd","BSD","nonfree",,
"creator",,"unrelated",,
"self",,"unrelated",,
"no license",,"nonfree",,
"ltljltlj/template","Public Domain","free-display",,
"lastedit",,"unrelated",,
"fullchaptername",,"unrelated",,
"copyrighted free use provided that",,"free-display",,
"zh-hans",,"unrelated",,
"lang links",,"unrelated",,
"su",,"unrelated",,
"non-free adobe screenshot",,"nonfree",,
"copyrighted free use provided that/lang",,"unrelated",,
"adobe screenshot",,"nonfree",,
"pd-coa-mexico/lang",,"unrelated",,
"pd-coa-mexico","Public Domain","free-display",,
"converttosvg",,"unrelated",,
"cc-by-sa-3.0-de","Creative Commons Attribution-Sharealike 3.0 Germany","free-display",,
"assessments",,"unrelated",,
"gfdl-self-with-disclaimers","GNU Free Documentation License","free-display",,
"pd-user-de","Public Domain","free-display",,
"bild-cc-by-sa/2.0/de","Creative Commons Attribution-Sharealike 2.0 Germany","free-display",,
"gd",,"unrelated",,
"bild-cc-by-sa/2.5","Creative Commons Attribution-Sharealike 2.5","free-display",,
"pd-user-wikimedia","Public Domain","free-display",,
"logo fur","logo","nonfree",,
"inkscape",,"unrelated",,
"copyrightedfreeuseprovidedthat",,,,
"assessments/temp",,"unrelated",,
"pd-flag ",,"unrelated",,
"assessments/enwiki",,"unrelated",,
"Bild-GFDL-GMT","Creative Commons Attribution-Share Alike 3.0 Unported","free-display",,
"PD-Art","Public Domain","free-display",,
"int:license",,"unrelated",,
"int:filedesc",,"unrelated",,
"barch-license","Creative Commons Attribution-Share Alike 3.0 Germany","free-display",,
"fotothek-license","Creative Commons Attribution-Share Alike 3.0 Germany","free-display",,
"gfdl-user-de","GNU Free Documentation License","free-display",,
"bild-pd-schöpfungshöhe","Public domain","free-display",,
"bild-frei","Public domain","free-display",,
"pd-release","Public domain","free-display",,
"bild-cc-by-sa/3.0/de","Creative Commons Attribution-ShareAlike 3.0 Germany","free-display",,
"pd-user-en","Public domain","free-display",,
"pd-hubble","Public domain","free-display",,
"pd-usgov-hhs-nih","Public domain","free-display",,
"gfdl-user-en","GNU Free Documentation License","free-display",,
"pd-sweden-photo",,"nonfree",,
"flag",,"unrelated",,
"unknown",,"unrelated",,
"own",,"unrelated",,
"other date",,"unrelated",,
"bild-logosh","Logo, Verwendung zu enzyklopädischen Zwecken erlaubt","free-display",,
"author",,"unrelated",,
"date",,"unrelated",,
"bild-pd-amtliches werk","Public domain","free-display",,
"pd-xrmap","Public domain","free-display",,
"cc-by-sa","Creative Commons Attribution-ShareAlike 1.0 Generic","free-display",,
"wappenrecht",,"unrelated",,
"pd-md","Public Domain","free-display",,
"in svg konvertieren",,"unrelated",,
"philately",,"unrelated",,
"template:pd-german empire stamps","Public Domain","free-display",,
